repo,module,category,parent_module,energy,view
flask,jinja2,external,flask.templating,254565.23883536138,nested
flask,_pytest,external,flask.templating,69115.71486469905,nested
flask,typing,stdlib,flask.templating,98906.9865616505,nested
flask,annotationlib,stdlib,flask.templating,61921.9222421758,nested
flask,_compat_pickle,stdlib,flask.templating,50029.63140674344,nested
flask,enum,stdlib,flask.templating,60434.86729597787,nested
flask,functools,stdlib,flask.templating,57595.28357690329,nested
flask,fnmatch,stdlib,flask.templating,56663.49875406647,nested
flask,pickle,stdlib,flask.templating,53169.63587192701,nested
flask,pluggy,external,flask.templating,47117.45927806236,nested
flask,contextlib,stdlib,flask.templating,50177.12913158978,nested
flask,werkzeug,external,flask.templating,46854.683643804776,nested
flask,flask.templating,internal,,2365.9446704611983,flat
flask,flask.sessions,internal,,563227.3033402254,nested
flask,itsdangerous,external,flask.sessions,75080.10464612437,nested
flask,pathlib,stdlib,flask.sessions,69067.0170316284,nested
flask,typing,stdlib,flask.sessions,65034.82292215097,nested
flask,_pytest,external,flask.sessions,60316.41278247185,nested
flask,fnmatch,stdlib,flask.sessions,59189.864340845525,nested
flask,werkzeug,external,flask.sessions,66804.52661085772,nested
flask,hmac,stdlib,flask.sessions,62321.35531927495,nested
flask,pluggy,external,flask.sessions,52755.48109747156,nested
flask,base64,stdlib,flask.sessions,44010.18422478026,nested
flask,flask.sessions,internal,,8647.53436461981,flat
flask,flask.json,internal,,337047.8667934767,nested
flask,pathlib,stdlib,flask.json,58134.03024349293,nested
flask,pluggy,external,flask.json,54181.979532904275,nested
flask,fnmatch,stdlib,flask.json,58235.38924514912,nested
flask,_pytest,external,flask.json,48684.250832791666,nested
flask,werkzeug,external,flask.json,59717.54637211264,nested
flask,json,stdlib,flask.json,41978.01396724756,nested
flask,flask.json,internal,,16116.656599778487,flat
flask,flask.sansio.scaffold,internal,,421254.7901768211,nested
flask,functools,stdlib,flask.sansio.scaffold,56420.28576023499,nested
flask,typing,stdlib,flask.sansio.scaffold,57424.10903854063,nested
flask,pathlib,stdlib,flask.sansio.scaffold,58001.27436345013,nested
flask,_pytest,external,flask.sansio.scaffold,55794.8394798388,nested
flask,fnmatch,stdlib,flask.sansio.scaffold,52885.92199965195,nested
flask,werkzeug,external,flask.sansio.scaffold,55817.26639737013,nested
flask,pluggy,external,flask.sansio.scaffold,55324.03649195211,nested
flask,flask.sansio.scaffold,internal,,29587.056645782395,flat
flask,flask.globals,internal,,4656132.416257315,nested
flask,re,stdlib,flask.globals,1189899.3107605327,nested
flask,enum,stdlib,flask.globals,541282.724778974,nested
flask,dataclasses,stdlib,flask.globals,423055.3830062757,nested
flask,pathlib,stdlib,flask.globals,315590.98235402885,nested
flask,socket,stdlib,flask.globals,118758.96871642566,nested
flask,typing,stdlib,flask.globals,200770.96310675424,nested
flask,urllib,stdlib,flask.globals,59911.83436160231,nested
flask,ssl,stdlib,flask.globals,67580.46593432895,nested
flask,inspect,stdlib,flask.globals,67788.14269113223,nested
flask,werkzeug,external,flask.globals,360928.4340815849,nested
flask,pluggy,external,flask.globals,56774.21702942434,nested
flask,_pytest,external,flask.globals,161743.94562057222,nested
flask,markupsafe,external,flask.globals,54364.206684243145,nested
flask,collections,stdlib,flask.globals,76627.17179996107,nested
